Negative sentiment,Positive sentiment
arrogant,beloved
arrogantly,benefactor
ashamed,beneficent
asinine,beneficial
asininely,beneficially
asinininity,beneficiary
askance,benefit
asperse,benefits
aspersion,benevolence
aspersions,benevolent
assail,benifits
assassin,best
assassinate,best-known
assault,best-performing
assult,best-selling
astray,better
asunder,better-known
atrocious,better-than-expected
atrocities,beutifully
atrocity,blameless
atrophy,bless
attack,blessing
attacks,bliss
audacious,blissful
audaciously,blissfully
audaciousness,blithe
audacity,blockbuster
audiciously,bloom
austere,blossom
authoritarian,bolster
autocrat,bonny
autocratic,bonus
avalanche,bonuses
avarice,boom
avaricious,booming
avariciously,boost
avenge,boundless
averse,bountiful
aversion,brainiest
aweful,brainy
awful,brand-new
awfully,brave
awfulness,bravery
awkward,bravo
awkwardness,breakthrough
ax,breakthroughs
babble,breathlessness
back-logged,breathtaking
back-wood,breathtakingly
back-woods,breeze
backache,bright
backaches,brighten
backaching,brighter
backbite,brightest
backbiting,brilliance
backward,brilliances
backwardness,brilliant
backwood,brilliantly
backwoods,brisk
bad,brotherly
badly,bullish
baffle,buoyant
baffled,cajole
bafflement,calm
baffling,calming
bait,calmness
balk,capability
banal,capable
banalize,capably
bane,captivate
banish,captivating
banishment,carefree
bankrupt,cashback
barbarian,cashbacks
barbaric,catchy
barbarically,celebrate
barbarity,celebrated
barbarous,celebration
barbarously,celebratory
barren,champ
baseless,champion
bash,charisma
bashed,charismatic
bashful,charitable
bashing,charm
bastard,charming
bastards,charmingly
battered,chaste
battering,cheaper
batty,cheapest
bearish,cheer
beastly,cheerful
bedlam,cheery
bedlamite,cherish
befoul,cherished
beg,cherub
beggar,chic
beggarly,chivalrous
begging,chivalry
beguile,civility
belabor,civilize
belated,clarity
beleaguer,classic
belie,classy
belittle,clean
belittled,cleaner
belittling,cleanest
bellicose,cleanliness
belligerence,cleanly
belligerent,clear
belligerently,clear-cut
bemoan,cleared
bemoaning,clearer
bemused,clearly
bent,clears
berate,clever
bereave,cleverly
bereavement,cohere
bereft,coherence
berserk,coherent
beseech,cohesive
beset,colorful
besiege,comely
besmirch,comfort
bestial,comfortable
betray,comfortably
betrayal,comforting
betrayals,comfy
betrayer,commend
betraying,commendable
betrays,commendably
bewail,commitment
beware,commodious
bewilder,compact
bewildered,compactly
bewildering,compassion
bewilderingly,compassionate
bewilderment,compatible
bewitch,competitive
bias,complement
biased,complementary
biases,complemented
bicker,complements
bickering,compliant
bid-rigging,compliment
bigotries,complimentary
bigotry,comprehensive
bitch,conciliate
bitchy,conciliatory
biting,concise
bitingly,confidence
bitter,confident
bitterly,congenial
bitterness,congratulate
bizarre,congratulation
blab,congratulations
blabber,congratulatory
blackmail,conscientious
blah,considerate
blame,consistent
blameworthy,consistently
bland,constructive
blandish,consummate
blaspheme,contentment
blasphemous,continuity
blasphemy,contrasty
blasted,contribution
blatant,convenience
blatantly,convenient
blather,conveniently
bleak,convience
bleakly,convienient
bleakness,convient
bleed,convincing
bleeding,convincingly
bleeds,cool
blemish,coolest
blind,cooperative
blinding,cooperatively
blindingly,cornerstone
blindside,correct
blister,correctly
blistering,cost-effective
bloated,cost-saving
blockage,counter-attack
blockhead,counter-attacks
bloodshed,courage
bloodthirsty,courageous
bloody,courageously
blotchy,courageousness
blow,courteous
blunder,courtly
blundering,covenant
blunders,cozy
blunt,creative
blur,credence
bluring,credible
blurred,crisp
blurring,crisper
blurry,cure
blurs,cure-all
blurt,cushy
boastful,cute
boggle,cuteness
bogus,danke
boil,danken
boiling,daring
boisterous,daringly
bomb,darling
bombard,dashing
bombardment,dauntless
bombastic,dawn
bondage,dazzle
bonkers,dazzled
bore,dazzling
bored,dead-cheap
boredom,dead-on
bores,decency
boring,decent
botch,decisive
bother,decisiveness
bothered,dedicated
bothering,defeat
bothers,defeated
bothersome,defeating
bowdlerize,defeats
boycott,defender
braggart,deference
bragger,deft
brainless,deginified
brainwash,delectable
brash,delicacy
brashly,delicate
brashness,delicious
brat,delight
bravado,delighted
brazen,delightful
brazenly,delightfully
brazenness,delightfulness
breach,dependable
break,dependably
break-up,deservedly
break-ups,deserving
breakdown,desirable
breaking,desiring
breaks,desirous
breakup,destiny
breakups,detachable
bribery,devout
brimstone,dexterous
bristle,dexterously
brittle,dextrous
broke,dignified
broken,dignify
broken-hearted,dignity
brood,diligence
browbeat,diligent
bruise,diligently
bruised,diplomatic
bruises,dirt-cheap
bruising,distinction
brusque,distinctive
brutal,distinguished
brutalising,diversified
brutalities,divine
brutality,divinely
brutalize,dominate
brutalizing,dominated
brutally,dominates
brute,dote
brutish,dotingly
bs,doubtless
buckle,dreamland
bug,dumbfounded
bugging,dumbfounding
buggy,dummy-proof
bugs,durable
bulkier,dynamic
bulkiness,eager
bulky,eagerly
bulkyness,eagerness
bull****,earnest
bull----,earnestly
bullies,earnestness
bullshit,ease
bullshyt,eased
bully,eases
bullying,easier
bullyingly,easiest
bum,easiness
bump,easing
bumped,easy
bumping,easy-to-use
bumpping,easygoing
bumps,ebullience
bumpy,ebullient
bungle,ebulliently
bungler,ecenomical
bungling,economical
bunk,ecstasies
burden,ecstasy
burdensome,ecstatic
burdensomely,ecstatically
burn,edify
burned,educated
burning,effective
burns,effectively
bust,effectiveness
busts,effectual
busybody,efficacious
butcher,efficient
butchery,efficiently
buzzing,effortless
byzantine,effortlessly
cackle,effusion
calamities,effusive
calamitous,effusively
calamitously,effusiveness
calamity,elan
callous,elate
calumniate,elated
calumniation,elatedly
calumnies,elation
calumnious,electrify
calumniously,elegance
calumny,elegant
cancer,elegantly
cancerous,elevate
cannibal,elite
cannibalize,eloquence
capitulate,eloquent
capricious,eloquently
capriciously,embolden
capriciousness,eminence
capsize,eminent
careless,empathize
carelessness,empathy
caricature,empower
carnage,empowerment
carp,enchant
cartoonish,enchanted
cash-strapped,enchanting
castigate,enchantingly
castrated,encourage
casualty,encouragement
cataclysm,encouraging
cataclysmal,encouragingly
cataclysmic,endear
cataclysmically,endearing
catastrophe,endorse
catastrophes,endorsed
catastrophic,endorsement
catastrophically,endorses
catastrophies,endorsing
caustic,energetic
caustically,energize
cautionary,energy-efficient
cave,energy-saving
censure,engaging
chafe,engrossing
chaff,enhance
chagrin,enhanced
challenging,enhancement
chaos,enhances
chaotic,enjoy
chasten,enjoyable
chastise,enjoyably
chastisement,enjoyed
chatter,enjoying
chatterbox,enjoyment
cheap,enjoys
cheapen,enlighten
cheaply,enlightenment
cheat,enliven
cheated,ennoble
cheater,enough
cheating,enrapt
cheats,enrapture
checkered,enraptured
cheerless,enrich
cheesy,enrichment
chide,enterprising
childish,entertain
chill,entertaining
chilly,entertains
chintzy,enthral
choke,enthrall
choleric,enthralled
choppy,enthuse
chore,enthusiasm
chronic,enthusiast
chunky,enthusiastic
clamor,enthusiastically
clamorous,entice
clash,enticed
cliche,enticing
cliched,enticingly
clique,entranced
clog,entrancing
clogged,entrust
clogs,enviable
cloud,enviably
clouding,envious
cloudy,enviously
clueless,enviousness
clumsy,envy
clunky,equitable
coarse,ergonomical
cocky,err-free
coerce,erudite
coercion,ethical
coercive,eulogize
cold,euphoria
coldly,euphoric
collapse,euphorically
collude,evaluative
collusion,evenly
combative,eventful
combust,everlasting
comical,evocative
commiserate,exalt
commonplace,exaltation
commotion,exalted
commotions,exaltedly
complacent,exalting
complain,exaltingly
complained,examplar
complaining,examplary
complains,excallent
complaint,exceed
complaints,exceeded
complex,exceeding
complicated,exceedingly
complication,exceeds
complicit,excel
compulsion,exceled
compulsive,excelent
concede,excellant
conceded,excelled
conceit,excellence
conceited,excellency
concen,excellent
concens,excellently
concern,excels
concerned,exceptional
concerns,exceptionally
concession,excite
concessions,excited
condemn,excitedly
condemnable,excitedness
condemnation,excitement
condemned,excites
condemns,exciting
condescend,excitingly
condescending,exellent
condescendingly,exemplar
condescension,exemplary
confess,exhilarate
confession,exhilarating
confessions,exhilaratingly
confined,exhilaration
conflict,exonerate
conflicted,expansive
conflicting,expeditiously
conflicts,expertly
confound,exquisite
confounded,exquisitely
confounding,extol
confront,extoll
confrontation,extraordinarily
confrontational,extraordinary
confuse,exuberance
confused,exuberant
confuses,exuberantly
confusing,exult
confusion,exultant
confusions,exultation
congested,exultingly
congestion,eye-catch
cons,eye-catching
conscons,eyecatch
conservative,eyecatching
conspicuous,fabulous
conspicuously,fabulously
conspiracies,facilitate
conspiracy,fair
conspirator,fairly
conspiratorial,fairness
conspire,faith
consternation,faithful
contagious,faithfully
contaminate,faithfulness
contaminated,fame
contaminates,famed
contaminating,famous
contamination,famously
contempt,fancier
contemptible,fancinating
contemptuous,fancy
contemptuously,fanfare
contend,fans
contention,fantastic
contentious,fantastically
contort,fascinate
contortions,fascinating
contradict,fascinatingly
contradiction,fascination
contradictory,fashionable
contrariness,fashionably
contravene,fast
contrive,fast-growing
contrived,fast-paced
controversial,faster
controversy,fastest
convoluted,fastest-growing
corrode,faultless
corrosion,fav
corrosions,fave
corrosive,favor
corrupt,favorable
corrupted,favored
corrupting,favorite
corruption,favorited
corrupts,favour
corruptted,fearless
costlier,fearlessly
costly,feasible
counter-productive,feasibly
counterproductive,feat
coupists,feature-rich
covetous,fecilitous
coward,feisty
cowardly,felicitate
crabby,felicitous
crack,felicity
cracked,fertile
cracks,fervent
craftily,fervently
craftly,fervid
crafty,fervidly
cramp,fervor
cramped,festive
cramping,fidelity
cranky,fiery
crap,fine
crappy,fine-looking
craps,finely
crash,finer
crashed,finest
crashes,firmer
crashing,first-class
crass,first-in-class
craven,first-rate
cravenly,flashy
craze,flatter
crazily,flattering
craziness,flatteringly
crazy,flawless
creak,flawlessly
creaking,flexibility
creaks,flexible
credulous,flourish
creep,flourishing
creeping,fluent
creeps,flutter
creepy,fond
crept,fondly
crime,fondness
criminal,foolproof
cringe,foremost
cringed,foresight
cringes,formidable
cripple,fortitude
crippled,fortuitous
cripples,fortuitously
crippling,fortunate
crisis,fortunately
critic,fortune
critical,fragrant
criticism,free
criticisms,freed
criticize,freedom
criticized,freedoms
criticizing,fresh
critics,fresher
cronyism,freshest
crook,friendliness
crooked,friendly
crooks,frolic
crowded,frugal
crowdedness,fruitful
crude,ftw
cruel,fulfillment
crueler,fun
cruelest,futurestic
cruelly,futuristic
cruelness,gaiety
cruelties,gaily
cruelty,gain
crumble,gained
crumbling,gainful
crummy,gainfully
crumple,gaining
crumpled,gains
crumples,gallant
crush,gallantly
crushed,galore
crushing,geekier
cry,geeky
culpable,gem
culprit,gems
cumbersome,generosity
cunt,generous
cunts,generously
cuplrit,genial
curse,genius
cursed,gentle
curses,gentlest
curt,genuine
cuss,gifted
cussed,glad
cutthroat,gladden
cynical,gladly
cynicism,gladness
d*mn,glamorous
damage,glee
damaged,gleeful
damages,gleefully
damaging,glimmer
damn,glimmering
damnable,glisten
damnably,glistening
damnation,glitter
damned,glitz
damning,glorify
damper,glorious
danger,gloriously
dangerous,glory
dangerousness,glow
dark,glowing
darken,glowingly
darkened,god-given
darker,god-send
darkness,godlike
dastard,godsend
dastardly,gold
daunt,golden
daunting,good
dauntingly,goodly
dawdle,goodness
daze,goodwill
dazed,goood
dead,gooood
deadbeat,gorgeous
deadlock,gorgeously
deadly,grace
deadweight,graceful
deaf,gracefully
dearth,gracious
death,graciously
debacle,graciousness
debase,grand
debasement,grandeur
debaser,grateful
debatable,gratefully
debauch,gratification
debaucher,gratified
debauchery,gratifies
debilitate,gratify
debilitating,gratifying
debility,gratifyingly
debt,gratitude
debts,great
decadence,greatest
decadent,greatness
decay,grin
decayed,groundbreaking
deceit,guarantee
deceitful,guidance
deceitfully,guiltless
deceitfulness,gumption
deceive,gush
deceiver,gusto
deceivers,gutsy
deceiving,hail
deception,halcyon
deceptive,hale
deceptively,hallmark
declaim,hallmarks
decline,hallowed
declines,handier
declining,handily
decrement,hands-down
decrepit,handsome
decrepitude,handsomely
decry,handy
defamation,happier
defamations,happily
defamatory,happiness
defame,happy
defect,hard-working
defective,hardier
defects,hardy
defensive,harmless
defiance,harmonious
defiant,harmoniously
defiantly,harmonize
deficiencies,harmony
deficiency,headway
deficient,heal
defile,healthful
defiler,healthy
deform,hearten
deformed,heartening
defrauding,heartfelt
defunct,heartily
defy,heartwarming
degenerate,heaven
degenerately,heavenly
degeneration,helped
degradation,helpful
degrade,helping
degrading,hero
degradingly,heroic
dehumanization,heroically
dehumanize,heroine
deign,heroize
deject,heros
dejected,high-quality
dejectedly,high-spirited
dejection,hilarious
delay,holy
delayed,homage
delaying,honest
delays,honesty
delinquency,honor
delinquent,honorable
delirious,honored
delirium,honoring
delude,hooray
deluded,hopeful
deluge,hospitable
delusion,hot
delusional,hotcake
delusions,hotcakes
demean,hottest
demeaning,hug
demise,humane
demolish,humble
demolisher,humility
demon,humor
demonic,humorous
demonize,humorously
demonized,humour
demonizes,humourous
demonizing,ideal
demoralize,idealize
demoralizing,ideally
demoralizingly,idol
denial,idolize
denied,idolized
denies,idyllic
denigrate,illuminate
denounce,illuminati
dense,illuminating
dent,illumine
dented,illustrious
dents,ilu
denunciate,imaculate
denunciation,imaginative
denunciations,immaculate
deny,immaculately
denying,immense
deplete,impartial
deplorable,impartiality
deplorably,impartially
deplore,impassioned
deploring,impeccable
deploringly,impeccably
deprave,important
depraved,impress
depravedly,impressed
deprecate,impresses
depress,impressive
depressed,impressively
depressing,impressiveness
depressingly,improve
depression,improved
depressions,improvement
deprive,improvements
deprived,improves
deride,improving
derision,incredible
derisive,incredibly
derisively,indebted
derisiveness,individualized
derogatory,indulgence
desecrate,indulgent
desert,industrious
desertion,inestimable
desiccate,inestimably
desiccated,inexpensive
desititute,infallibility
desolate,infallible
desolately,infallibly
desolation,influential
despair,ingenious
despairing,ingeniously
despairingly,ingenuity
desperate,ingenuous
desperately,ingenuously
desperation,innocuous
despicable,innovation
despicably,innovative
despise,inpressed
despised,insightful
despoil,insightfully
despoiler,inspiration
despondence,inspirational
despondency,inspire
despondent,inspiring
despondently,instantly
despot,instructive
despotic,instrumental
despotism,integral
destabilisation,integrated
destains,intelligence
destitute,intelligent
destitution,intelligible
destroy,interesting
destroyer,interests
destruction,intimacy
destructive,intimate
desultory,intricate
deter,intrigue
deteriorate,intriguing
deteriorating,intriguingly
deterioration,intuitive
deterrent,invaluable
detest,invaluablely
detestable,inventive
detestably,invigorate
detested,invigorating
detesting,invincibility
detests,invincible
detract,inviolable
detracted,inviolate
detracting,invulnerable
detraction,irreplaceable
detracts,irreproachable
detriment,irresistible
detrimental,irresistibly
devastate,issue-free
devastated,jaw-droping
devastates,jaw-dropping
devastating,jollify
devastatingly,jolly
devastation,jovial
deviate,joy
deviation,joyful
devil,joyfully
devilish,joyous
devilishly,joyously
devilment,jubilant
devilry,jubilantly
devious,jubilate
deviously,jubilation
deviousness,jubiliant
devoid,judicious
diabolic,justly
diabolical,keen
diabolically,keenly
diametrically,keenness
diappointed,kid-friendly
diatribe,kindliness
diatribes,kindly
dick,kindness
dictator,knowledgeable
dictatorial,kudos
die,large-capacity
die-hard,laud
died,laudable
dies,laudably
difficult,lavish
difficulties,lavishly
difficulty,law-abiding
diffidence,lawful
dilapidated,lawfully
dilemma,lead
dilly-dally,leading
dim,leads
dimmer,lean
din,led
ding,legendary
dings,leverage
dinky,levity
dire,liberate
direly,liberation
direness,liberty
dirt,lifesaver
dirtbag,light-hearted
dirtbags,lighter
dirts,likable
dirty,like
disable,liked
disabled,likes
disaccord,liking
disadvantage,lionhearted
disadvantaged,lively
disadvantageous,logical
disadvantages,long-lasting
disaffect,lovable
disaffected,lovably
disaffirm,love
disagree,loved
disagreeable,loveliness
disagreeably,lovely
disagreed,lover
disagreeing,loves
disagreement,loving
disagrees,low-cost
disallow,low-price
disapointed,low-priced
disapointing,low-risk
disapointment,lower-priced
disappoint,loyal
disappointed,loyalty
disappointing,lucid
disappointingly,lucidly
disappointment,luck
disappointments,luckier
disappoints,luckiest
disapprobation,luckiness
disapproval,lucky
disapprove,lucrative
disapproving,luminous
disarm,lush
disarray,luster
disaster,lustrous
disasterous,luxuriant
disastrous,luxuriate
disastrously,luxurious
disavow,luxuriously
disavowal,luxury
disbelief,lyrical
disbelieve,magic
disbeliever,magical
disclaim,magnanimous
discombobulate,magnanimously
discomfit,magnificence
discomfititure,magnificent
discomfort,magnificently
discompose,majestic
disconcert,majesty
disconcerted,manageable
disconcerting,maneuverable
disconcertingly,marvel
disconsolate,marveled
disconsolately,marvelled
disconsolation,marvellous
discontent,marvelous
discontented,marvelously
discontentedly,marvelousness
discontinued,marvels
discontinuity,master
discontinuous,masterful
discord,masterfully
discordance,masterpiece
discordant,masterpieces
discountenance,masters
discourage,mastery
discouragement,matchless
discouraging,mature
discouragingly,maturely
discourteous,maturity
discourteously,meaningful
discoutinous,memorable
discredit,merciful
discrepant,mercifully
discriminate,mercy
discrimination,merit
discriminatory,meritorious
disdain,merrily
disdained,merriment
disdainful,merriness
disdainfully,merry
disfavor,mesmerize
disgrace,mesmerized
disgraced,mesmerizes
disgraceful,mesmerizing
disgracefully,mesmerizingly
disgruntle,meticulous
disgruntled,meticulously
disgust,mightily
disgusted,mighty
disgustedly,mind-blowing
disgustful,miracle
disgustfully,miracles
disgusting,miraculous
disgustingly,miraculously
dishearten,miraculousness
disheartening,modern
dishearteningly,modest
dishonest,modesty
dishonestly,momentous
dishonesty,monumental
dishonor,monumentally
dishonorable,morality
dishonorablely,motivated
disillusion,multi-purpose
disillusioned,navigable
disillusionment,neat
disillusions,neatest
disinclination,neatly
disinclined,nice
disingenuous,nicely
disingenuously,nicer
disintegrate,nicest
disintegrated,nifty
disintegrates,nimble
disintegration,noble
disinterest,nobly
disinterested,noiseless
dislike,non-violence
disliked,non-violent
dislikes,notably
disliking,noteworthy
dislocated,nourish
disloyal,nourishing
disloyalty,nourishment
dismal,novelty
dismally,nurturing
dismalness,oasis
dismay,obsession
dismayed,obsessions
dismaying,obtainable
dismayingly,openly
dismissive,openness
dismissively,optimal
disobedience,optimism
disobedient,optimistic
disobey,opulent
disoobedient,orderly
disorder,originality
disordered,outdo
disorderly,outdone
disorganized,outperform
disorient,outperformed
disoriented,outperforming
disown,outperforms
disparage,outshine
disparaging,outshone
disparagingly,outsmart
dispensable,outstanding
dispirit,outstandingly
dispirited,outstrip
dispiritedly,outwit
dispiriting,ovation
displace,overjoyed
displaced,overtake
displease,overtaken
displeased,overtakes
displeasing,overtaking
displeasure,overtook
disproportionate,overture
disprove,pain-free
disputable,painless
dispute,painlessly
disputed,palatial
disquiet,pamper
disquieting,pampered
disquietingly,pamperedly
disquietude,pamperedness
disregard,pampers
disregardful,panoramic
disreputable,paradise
disrepute,paramount
disrespect,pardon
disrespectable,passion
disrespectablity,passionate
disrespectful,passionately
disrespectfully,patience
disrespectfulness,patient
disrespecting,patiently
disrupt,patriot
disruption,patriotic
disruptive,peace
diss,peaceable
dissapointed,peaceful
dissappointed,peacefully
dissappointing,peacekeepers
dissatisfaction,peach
dissatisfactory,peerless
dissatisfied,pep
dissatisfies,pepped
dissatisfy,pepping
dissatisfying,peppy
dissed,peps
dissemble,perfect
dissembler,perfection
dissension,perfectly
dissent,permissible
dissenter,perseverance
dissention,persevere
disservice,personages
disses,personalized
dissidence,phenomenal
dissident,phenomenally
dissidents,picturesque
dissing,piety
dissocial,pinnacle
dissolute,playful
dissolution,playfully
dissonance,pleasant
dissonant,pleasantly
dissonantly,pleased
dissuade,pleases
dissuasive,pleasing
distains,pleasingly
distaste,pleasurable
distasteful,pleasurably
distastefully,pleasure
distort,plentiful
distorted,pluses
distortion,plush
distorts,plusses
distract,poetic
distracting,poeticize
distraction,poignant
distraught,poise
distraughtly,poised
distraughtness,polished
distress,polite
distressed,politeness
distressing,popular
distressingly,portable
distrust,posh
distrustful,positive
distrusting,positively
disturb,positives
disturbance,powerful
disturbed,powerfully
disturbing,praise
disturbingly,praiseworthy
disunity,praising
disvalue,pre-eminent
divergent,precious
divisive,precise
divisively,precisely
divisiveness,preeminent
dizzing,prefer
dizzingly,preferable
dizzy,preferably
doddering,prefered
dodgey,preferes
dogged,preferring
doggedly,prefers
dogmatic,premier
doldrums,prestige
domineer,prestigious
domineering,prettily
donside,pretty
doom,priceless
doomed,pride
doomsday,principled
dope,privilege
doubt,privileged
doubtful,prize
doubtfully,proactive
doubts,problem-free
douchbag,problem-solver
douchebag,prodigious
douchebags,prodigiously
downbeat,prodigy
downcast,productive
downer,productively
downfall,proficient
downfallen,proficiently
downgrade,profound
downhearted,profoundly
downheartedly,profuse
downhill,profusion
downside,progress
downsides,progressive
downturn,prolific
downturns,prominence
drab,prominent
draconian,promise
draconic,promised
drag,promises
dragged,promising
dragging,promoter
dragoon,prompt
drags,promptly
drain,proper
drained,properly
draining,propitious
drains,propitiously
drastic,pros
drastically,prosper
drawback,prosperity
drawbacks,prosperous
dread,prospros
dreadful,protect
dreadfully,protection
dreadfulness,protective
dreary,proud
dripped,proven
dripping,proves
drippy,providence
drips,proving
drones,prowess
droop,prudence
droops,prudent
drop-out,prudently
drop-outs,punctual
dropout,pure
dropouts,purify
drought,purposeful
drowning,quaint
drunk,qualified
drunkard,qualify
drunken,quicker
dubious,quiet
dubiously,quieter
dubitable,radiance
dud,radiant
dull,rapid
dullard,rapport
dumb,rapt
dumbfound,rapture
dump,raptureous
dumped,raptureously
dumping,rapturous
dumps,rapturously
dunce,rational
dungeon,razor-sharp
dungeons,reachable
dupe,readable
dust,readily
dusty,ready
dwindling,reaffirm
dying,reaffirmation
earsplitting,realistic
eccentric,realizable
eccentricity,reasonable
effigy,reasonably
effrontery,reasoned
egocentric,reassurance
egomania,reassure
egotism,receptive
egotistical,reclaim
egotistically,recomend
egregious,recommend
egregiously,recommendation
election-rigger,recommendations
elimination,recommended
emaciated,reconcile
emasculate,reconciliation
embarrass,record-setting
embarrassing,recover
embarrassingly,recovery
embarrassment,rectification
embattled,rectify
embroil,rectifying
embroiled,redeem
embroilment,redeeming
emergency,redemption
emphatic,refine
emphatically,refined
emptiness,refinement
encroach,reform
encroachment,reformed
endanger,reforming
enemies,reforms
enemy,refresh
enervate,refreshed
enfeeble,refreshing
enflame,refund
engulf,refunded
enjoin,regal
enmity,regally
enrage,regard
enraged,rejoice
enraging,rejoicing
enslave,rejoicingly
entangle,rejuvenate
entanglement,rejuvenated
entrap,rejuvenating
entrapment,relaxed
envious,relent
enviously,reliable
enviousness,reliably
epidemic,relief
equivocal,relish
erase,remarkable
erode,remarkably
erodes,remedy
erosion,remission
err,remunerate
errant,renaissance
erratic,renewed
erratically,renown
erroneous,renowned
erroneously,replaceable
error,reputable
errors,reputation
eruptions,resilient
escapade,resolute
eschew,resound
estranged,resounding
evade,resourceful
evasion,resourcefulness
evasive,respect
evil,respectable
evildoer,respectful
evils,respectfully
eviscerate,respite
exacerbate,resplendent
exagerate,responsibly
exagerated,responsive
exagerates,restful
exaggerate,restored
exaggeration,restructure
exasperate,restructured
exasperated,restructuring
exasperating,retractable
exasperatingly,revel
exasperation,revelation
excessive,revere
excessively,reverence
exclusion,reverent
excoriate,reverently
excruciating,revitalize
excruciatingly,revival
excuse,revive
excuses,revives
execrate,revolutionary
exhaust,revolutionize
exhausted,revolutionized
exhaustion,revolutionizes
exhausts,reward
exhorbitant,rewarding
exhort,rewardingly
exile,rich
exorbitant,richer
exorbitantance,richly
exorbitantly,richness
expel,right
expensive,righten
expire,righteous
expired,righteously
explode,righteousness
exploit,rightful
exploitation,rightfully
explosive,rightly
expropriate,rightness
expropriation,risk-free
expulse,robust
expunge,rock-star
exterminate,rock-stars
extermination,rockstar
extinguish,rockstars
extort,romantic
extortion,romantically
extraneous,romanticize
extravagance,roomier
extravagant,roomy
extravagantly,rosy
extremism,safe
extremist,safely
extremists,sagacity
eyesore,sagely
f**k,saint
fabricate,saintliness
fabrication,saintly
facetious,salutary
facetiously,salute
fail,sane
failed,satisfactorily
failing,satisfactory
fails,satisfied
failure,satisfies
failures,satisfy
faint,satisfying
fainthearted,satisified
faithless,saver
fake,savings
fall,savior
fallacies,savvy
fallacious,scenic
fallaciously,seamless
fallaciousness,seasoned
fallacy,secure
fallen,securely
falling,selective
fallout,self-determination
falls,self-respect
FALSE,self-satisfaction
falsehood,self-sufficiency
falsely,self-sufficient
falsify,sensation
falter,sensational
faltered,sensationally
famine,sensations
famished,sensible
fanatic,sensibly
fanatical,sensitive
fanatically,serene
fanaticism,serenity
fanatics,sexy
fanciful,sharp
far-fetched,sharper
farce,sharpest
farcical,shimmering
farcical-yet-provocative,shimmeringly
farcically,shine
